1;1193;F;1;10;48067;Drama;5
1;661;F;1;10;48067;Animation|Children's|Musical;3
1;914;F;1;10;48067;Musical|Romance;3
1;3408;F;1;10;48067;Drama;4
1;2355;F;1;10;48067;Animation|Children's|Comedy;5
1;1197;F;1;10;48067;Action|Adventure|Comedy|Romance;3
1;1287;F;1;10;48067;Action|Adventure|Drama;5
1;2804;F;1;10;48067;Comedy|Drama;5
1;594;F;1;10;48067;Animation|Children's|Musical;4
1;919;F;1;10;48067;Adventure|Children's|Drama|Musical;4
1;595;F;1;10;48067;Animation|Children's|Musical;5
1;938;F;1;10;48067;Musical;4
1;2398;F;1;10;48067;Drama;4
1;2918;F;1;10;48067;Comedy;4
1;1035;F;1;10;48067;Musical;5
1;2791;F;1;10;48067;Comedy;4
1;2687;F;1;10;48067;Animation|Children's;3
1;2018;F;1;10;48067;Animation|Children's;4
1;3105;F;1;10;48067;Drama;5
1;2797;F;1;10;48067;Comedy|Fantasy;4
1;2321;F;1;10;48067;Comedy;3
1;720;F;1;10;48067;Animation;3
1;1270;F;1;10;48067;Comedy|Sci-Fi;5
1;527;F;1;10;48067;Drama|War;5
1;2340;F;1;10;48067;Romance;3
1;48;F;1;10;48067;Animation|Children's|Musical|Romance;5
1;1097;F;1;10;48067;Children's|Drama|Fantasy|Sci-Fi;4
1;1721;F;1;10;48067;Drama|Romance;4
1;1545;F;1;10;48067;Drama;4
1;745;F;1;10;48067;Animation|Comedy|Thriller;3
1;2294;F;1;10;48067;Animation|Children's;4
1;3186;F;1;10;48067;Drama;4
1;1566;F;1;10;48067;Adventure|Animation|Children's|Comedy|Musical;4
1;588;F;1;10;48067;Animation|Children's|Comedy|Musical;4
1;1907;F;1;10;48067;Animation|Children's;4
1;783;F;1;10;48067;Animation|Children's|Musical;4
1;1836;F;1;10;48067;Drama;5
1;1022;F;1;10;48067;Animation|Children's|Musical;5
1;2762;F;1;10;48067;Thriller;4
1;150;F;1;10;48067;Drama;5
1;1;F;1;10;48067;Animation|Children's|Comedy;5
1;1961;F;1;10;48067;Drama;5
1;1962;F;1;10;48067;Drama;4
1;2692;F;1;10;48067;Action|Crime|Romance;4
1;260;F;1;10;48067;Action|Adventure|Fantasy|Sci-Fi;4
1;1028;F;1;10;48067;Children's|Comedy|Musical;5
1;1029;F;1;10;48067;Animation|Children's|Musical;5
1;1207;F;1;10;48067;Drama;4
1;2028;F;1;10;48067;Action|Drama|War;5
1;531;F;1;10;48067;Children's|Drama;4
1;3114;F;1;10;48067;Animation|Children's|Comedy;4
1;608;F;1;10;48067;Crime|Drama|Thriller;4
1;1246;F;1;10;48067;Drama;4
2;1357;M;56;16;70072;Drama|Romance;5
2;3068;M;56;16;70072;Drama;4
2;1537;M;56;16;70072;Comedy;4
2;647;M;56;16;70072;Drama|War;3
2;2194;M;56;16;70072;Action|Crime|Drama;4
2;648;M;56;16;70072;Action|Adventure|Mystery;4
2;2268;M;56;16;70072;Crime|Drama;5
2;2628;M;56;16;70072;Action|Adventure|Fantasy|Sci-Fi;3
2;1103;M;56;16;70072;Drama;3
2;2916;M;56;16;70072;Action|Adventure|Sci-Fi|Thriller;3
2;3468;M;56;16;70072;Drama;5
2;1210;M;56;16;70072;Action|Adventure|Romance|Sci-Fi|War;4
2;1792;M;56;16;70072;Action|Thriller;3
2;1687;M;56;16;70072;Action|Thriller;3
2;1213;M;56;16;70072;Crime|Drama;2
2;3578;M;56;16;70072;Action|Drama;5
2;2881;M;56;16;70072;Action|Thriller;3
